AUDIENCE,BIAS,MESSAGE,DESIGNATION,SOURCE,TEXT
national,neutral,information,Representative ,twitter,Nation's healthcare spending to jump 6.1% next year http://t.co/PpaT9wjanU via @AP
national,neutral,personal,Representative ,twitter,"Thank you for having me on your show, @jallman971, and thank you for defending me!"
national,partisan,information,Representative ,twitter,"This afternoon, I spoke on the House Floor about my skepticism regarding a military strike in Syria. These... http://t.co/u4zct2ksJM"
national,neutral,support,Representative ,twitter,@OOOlson U label what U want. There 4 many prominent scientists who disagree with GWarming theory. R U anti-science 4 not agreeing with them
national,neutral,personal,Representative ,twitter,"Last week, my office helped Mr. Chavez receive long-overdue medals for his service in the Gulf War. http://t.co/vqZB7z7zS0"
national,partisan,attack,Representative ,twitter,"President calls for ""modern pipelines."" What about the job-creating #KeystoneXL pipeline? #TimetoBuild #sotu"
national,partisan,policy,Senator ,twitter,"Many people think that Congress regulates Wall Street, but in fact it is Wall Street that regulates Congress. http://t.co/z6RF9iwejW"
national,partisan,policy,Representative ,twitter,Why are more people losing their insurance than getting it? #AskSebelius http://t.co/sQl4empiyD
national,neutral,policy,Representative ,twitter,Report: Diabetes numbers continue to rise in US - FOX 29 News Philadelphia | WTXF-TV http://t.co/RtOdBVOOxL
national,neutral,media,Senator ,twitter,I was on @CBSThisMorning to discuss today's #MSThearing examining sexual assault in the military. Video is up here: http://t.co/uL0I9o7VKw
national,neutral,personal,Senator ,twitter,Happy 67th Birthday @usairforce and thank you to all the men and women who serve and protect our nation. #AFBday
national,neutral,support,Representative ,twitter,Good Hearing Before House Appropriators on FY 2015 NSF Budget Request | SpaceRef - Your Space Reference http://t.co/DdxePJdzLO via @SpaceRef
national,neutral,support,Representative ,twitter,"I was honored to receive the @USChamber ""Spirit of Enterprise"" Award this morning! http://t.co/ofB6FrKSDz"
national,partisan,policy,Representative ,twitter,"RT @irtl: .@ToddRokita: Life is precious. Therefore, every abortion is a tragedy. #gosnell"
national,neutral,media,Representative ,twitter,"Join me for another ""#SweetTea with Tim"" in #Searcy this Monday morning! Details: https://t.co/tDYjEgCw87 #ar2"
national,partisan,policy,Representative ,twitter,"RT @WaysandMeansGOP: Under Obama, middle class incomes have fallen more than 5%, it's time to focus on #taxreform to fix the economy
http:/â€_"
constituency,neutral,personal,Representative ,twitter,"Recently held a ""Coffee with the Congressman"" event in Clay County. Read more about the event here - http://t.co/eKtcXNzA1e. #IN08"
national,neutral,personal,Representative ,twitter,"Interested in updates longer than 140 characters? If so, check out my Facebook pg &amp; help me reach 8000 ""likes"" http://t.co/YOxyoaPxRh"
national,partisan,policy,Representative ,twitter,"Supporting #Fast4Families on the 'National Day to Act, Fast and Pray' for immigration reform #TimeIsNow http://t.co/NPpdD8tMUE"
constituency,neutral,constituency,Representative ,twitter,Great meeting with Mike Moss with Triumph Fabrications this afternoon! Thanks for stopping by. http://t.co/Hlf5lknKCb
national,neutral,information,Representative ,twitter,Todayâ€™s jobs report shows that job growth is still far behind our potential. Itâ€™s #TimeToBuild the #KeystoneXL #4jobs http://t.co/6QmUhBu07A
national,neutral,policy,Senator ,twitter,.@MElyfishprints Congratulations and much success!
national,partisan,attack,Representative ,twitter,@Alyssa3467 @Marble300 @GOP Get over it. The voters gave 1/2 of fed legislative authority to GOP. Prez can't dictate &amp; Senate must negotiate
national,neutral,other,Representative ,twitter,RT @eduardobhatia: Extraordinaria entrevista de @SanchezOnline con @RepJoseSerrano explicando la crisis fiscal en los EU. @UnivisionPR @WKAâ€_
national,partisan,policy,Representative ,twitter,Why I voted against a bill that would raise the debt ceiling with no comprehensive spending reforms: http://t.co/JFxg3m5TcD
national,neutral,support,Senator ,twitter,I want to thank our law enforcement for their hard work &amp; hope with this development we will have more information about why this happened.
constituency,neutral,personal,Senator ,twitter,@NevadaWolfPack's own @Kaepernick7 = Best Breakthrough Athlete. Congrats! #BattleBorn #ESPYS
national,partisan,policy,Representative ,twitter,"RT @WatchdogFla: Fla. @RepDennisRoss condemns #NSA email spying, offers #RelevancyAct as solution http://t.co/l2KfGg5uHY"
constituency,neutral,personal,Senator ,twitter,PHOTO: Great to have @AmericanCancer join @SenTedCruz and I for Texas Tuesday Coffee this morning: http://t.co/IAkH7I1EYx
national,neutral,policy,Representative ,twitter,Good news for #LGBT seniors and equality. It also means the potential for fewer seniors living poverty.  http://t.co/8Gk1ywVppu
constituency,neutral,support,Senator ,twitter,"Last yr, #VAWA provided $3.9 million for enforcement &amp; victimsâ€™ services in WV. Iâ€™m pushing to continue this crucial support."
national,partisan,information,Representative ,twitter,Chaired @HouseHomeland hearing to raise awareness about the underreported threat EMPs pose to the electric grid. http://t.co/hFWq5ELobC
national,neutral,support,Representative ,twitter,"#FMLA has been helping families for 20 years, but we need to do more #paidleavenow @NPWF"
national,neutral,information,Senator ,twitter,".@timkaine at Kabul International Airport w/ VA troops, incl. troops from Fredericksburg, Newport News &amp; VA Beach http://t.co/GbmKwZTtS9"
national,neutral,support,Representative ,twitter,"@nisey_77 I just cosponsored @RepMcCarthyNY's H.R. 137, which calls for background checks for all gun sales. http://t.co/wEmrMgFHFI"
national,neutral,information,Representative ,twitter,"""Health industry officials say #ObamaCare-related premiums will double in some parts of the country,"" via @thehill - http://t.co/pGqkGknzOC"
national,partisan,support,Representative ,twitter,The president can take these steps - right now - to #SecureTheBorder &amp; safely return children home. http://t.co/2Dk6rf2NKX #BorderCrisis
national,neutral,media,Representative ,twitter,Rep. McKinley meets with members of the Morgantown Fire Department at the Northside Station. http://t.co/VYqVuxmp3o
constituency,neutral,constituency,Representative ,twitter,"Pre-K 4 SA kicks off second year, 1,500 area 4-year-olds enrolled  http://t.co/2U9hKrHdvZ via @ksatnews"
national,neutral,policy,Representative ,twitter,@TheCostOfEnergy no there must be proof human activity is causing changes to sea levels before gov given permission to tell us how to live
national,partisan,policy,Representative ,twitter,@wirenut1990 @SpeakerBoehner @RepAndyHarrisMD The 37th time isn't the charm. #ACARepeal is DOA in the Senate. Now let's get to work.
national,neutral,personal,Representative ,twitter,"To all the families lighting the Menorah tonight at sundown, Happy #Hanukkah and Chag Sameach."
constituency,neutral,constituency,Representative ,twitter,Congrats to #Lakeville North for OT win over Roseau in boys state hockey tournament. Good luck tomorrow in semis! #mshsl #TheTourney14
national,neutral,other,Representative ,twitter,"Sign up for my e-newsletter by clicking here:
 http://t.co/14augaGfNr"
national,neutral,support,Representative ,twitter,@jlop117 how many of these G Sachs guys donated to me? So if I give U list of Dems/GOP will U go at them? if not have a great holiday
national,partisan,policy,Senator ,twitter,"RT @SenJohnHoeven: Setting the record straight on #KeystoneXL benefits: Creates approx. 42,100 jobs, lowers gas prices. More info at:   httâ€_"
national,neutral,personal,Representative ,twitter,"Today I joined my colleagues to end the #GOPshutdown and reopen the government. Now, back to the real business...http://t.co/RbmcDjxqDP"
national,neutral,mobilization,Senator ,twitter,VIDEO: Cornyn: Will Red State Democrats Vote to Defund Obamacare? http://t.co/7GzB8LtBW7
national,neutral,support,Senator ,twitter,Best of luck to the very impressive students representing #RI in the 2014 @NationalHistory Day competition. #NHD2014 http://t.co/mRQNNYpSNo
constituency,partisan,policy,Senator ,twitter,Pleased the Senate voted to #RenewUI. I urge the House to take action. Nevadans canâ€™t wait. http://t.co/a88tlDS81U Â 
national,neutral,personal,Representative ,twitter,#DDay footage tears me up as I think of sacrifices of #heroes charging into Nazi guns &amp;horrors of war .madness of Hitler.Sherman was right!
national,neutral,personal,Senator ,twitter,Out of this world! RT @elizabethamber We have plenty of Star Trek and Dr. Who stuff at @ComicFusion =) Plus ya know... COMICS.
national,neutral,policy,Representative ,twitter,.@repjohnkline and I just released a joint statement on the #NLRB nominations. More here: http://t.co/w2OmdbW69F @EdWorkforce
national,neutral,support,Representative ,twitter,Really enjoyed touring @Tuthilltown Distillery today in Gardiner. Very impressed w Ralph &amp; his team. Great job! #NY19 http://t.co/skBZl643GP
constituency,neutral,personal,Representative ,twitter,@KingSlayer_RPDC @LibertyCrabs thanks for the feedback.
national,partisan,attack,Representative ,twitter,Just six hours left to avoid a #GOPshutdown. #EnoughAlready
national,neutral,policy,Representative ,twitter,Through Sept. 2nd active duty military personnel and their families can visit #BlueStarMuseums for free! @NEAarts http://t.co/4FRgGSVAQh
national,neutral,media,Representative ,twitter,Getting on stage to speak at Netroots Nation! Watch a live stream of my speech at this link #NN13 #CA17 http://t.co/AO0VdOhDxX
national,partisan,attack,Representative ,twitter,I do NOT support efforts to exempt only members of Congress &amp; staffs from ObamaCare.  I want every American exempted. http://t.co/Ih6PTpEf4L
national,partisan,support,Representative ,twitter,I stand with the #UCSD students today as they speak out in support of affordable college education.
constituency,neutral,constituency,Representative ,twitter,"A member of my staff is holding mobile office hours today in Winchester at the Winchester City Hall, 32 Wall Street from 9-10AM. #KY6"
national,neutral,policy,Senator ,twitter,"Sen. McConnell on Meet the Press on #Obamacare: â€œThe President himself seems to not think parts of the law ought to be implemented"""
national,neutral,information,Senator ,twitter,"RT @JohnLAllenJr: Mass Senator Edward Markey meets Pope Francis, talks climate change: http://t.co/Dzk05gVLJq"
national,partisan,attack,Representative ,twitter,One year later and all the Republican Party has gotten is one year older #SameOldParty http://t.co/tUZo6lPBB0 http://t.co/gIVDm9lc5T
national,neutral,information,Representative ,twitter,The House should not recess until we reach a deal to avert the irrational sequester #NoDealNoBreak
national,partisan,policy,Representative ,twitter,Spoke out against chained CPI at yesterday's U.S. Capitol press conference. WATCH: http://t.co/grrpLq2exp #SocialSecurity
national,neutral,support,Representative ,twitter,.@Jim_Moran @rosadelauro and I introduced economic sanctions on Russiaâ€™s largest arms dealer today. Read more here:  http://t.co/icmZnBV5u2
national,partisan,policy,Representative ,twitter,Thanks to all in #CA13/#EastBay for your thoughts on #Syria. I'll vote NO on any authorization of military force. http://t.co/NnD7wr0dya
national,neutral,policy,Senator ,twitter,"A promise was made: If you like your health plan, you can keep it. I will do everything I can to see the promise is kept w/ my upcoming bill"
national,neutral,personal,Representative ,twitter,Great win tonight by @RedWolvesFBall in Mobile!  Congrats on a great game! #howlyes #redwolves #BrickByBrick
national,partisan,policy,Senator ,twitter,".@SIAdvance: Putting sexual assault cases in hands of unbiased mil prosecutors would ""instill new confidence in military justice."" #passMJIA"
national,partisan,attack,Representative ,twitter,.@easynan2 its interesting how we will spend $ but GOP won't bring a jobs bill to a floor or spend $ to create jobs #askdems
national,neutral,personal,Representative ,twitter,Enjoyed talking with customers yesterday at CJ's Cafe in Pekin. http://t.co/UbOmxwd5EQ
national,neutral,support,Representative ,twitter,"Have a fun, happy and safe #4thofJuly weekend! #LA02 #Happy4thofJuly"
constituency,neutral,media,Representative ,twitter,"RT @LeninPR: MaÃ±ana no te pierdas Pegaos a las 6am en @radioisla1320 Hablo con Melba Acosta,@BacoFomento @RepJoseSerrano @PierluisiPNP @Mayâ€_"
national,neutral,media,Senator ,twitter,Joining Barry Young @FamousOneRadio in-studio for next hour 550 @KFYI #Phoenix - listen live http://t.co/eWrHzbVIg4
constituency,neutral,constituency,Representative ,twitter,Today @NWYC presented us with an award for our commitment to serve our constituents - which is our #1 priority. #MI11 http://t.co/tElLV925IG
national,neutral,personal,Representative ,twitter,Go #Dodgers!
constituency,neutral,information,Senator ,twitter,Touring Portsmouth Naval Shipyard with incoming Vice Chief of Naval Operations Michelle Howard http://t.co/DbImQgmttD
constituency,neutral,media,Representative ,twitter,Read more about my visit to St Clair County today: http://t.co/mIljKq6M8H
national,partisan,policy,Representative ,twitter,Pleased to introduce the House Dem budget today. Most important deficit we face is the jobs deficit. Read our plan: http://t.co/3bZ5q7gjYi
national,neutral,policy,Representative ,twitter,Itâ€™s time to stop burdensome regulations that put people out of work! http://t.co/XMJ1AykBUr
constituency,neutral,personal,Representative ,twitter,@libertypunch @melissa5001 Hah! Thx! (I guess)
constituency,neutral,personal,Representative ,twitter,I joined @23WIFR at the Rockford Chamber Annual Dinner to discuss the need to grow the Rockford-area economy: http://t.co/39UST2Xd #IL16
constituency,neutral,information,Senator ,twitter,Packed house at Chase Field for #dbacks Opening Day!
national,partisan,policy,Representative ,twitter,"Today the House votes on HR 5462, a bipartisan bill I introduced to limit the fees charged to air travelers &amp; clarify Congressional intent."
national,neutral,information,Senator ,twitter,BTW ICYMI winter season starts in a few hours.
national,neutral,personal,Senator ,twitter,Love this one. MT @cardcash: If anyone can beat @TheEllenShow selfie it's @CoryBooker http://t.co/yPm85nuH2J
national,neutral,other,Senator ,twitter,Stopped off along the beautiful Missouri River in Chamberlain on my way to the Jones County Invitational. http://t.co/8Hx2xZuYoT
national,neutral,personal,Senator ,twitter,"""If there is no struggle, there is no progress."" Frederick Douglass"
constituency,neutral,media,Representative ,twitter,#VA06 Staff Open Door Meeting today in Elkton at the Community Center. More details here: http://t.co/0o2x9YX9uG
national,neutral,support,Representative ,twitter,Every child is a #BlessingnotBurden. Thank @MikeKellyPA supporting pro-life bill to protect children w/ disabilities. http://t.co/CY796en06x
national,neutral,personal,Senator ,twitter,"8,019,763 Americans enrolled in #ACA, w/ 85% receiving financial assistance! Glad so many people will experience affordable, quality care"
national,partisan,support,Representative ,twitter,"Read my weekly update to learn about my position regarding Syria, the August jobs report, &amp; my visits to Southeast KS http://t.co/nOKuaqxu2R"
national,neutral,support,Representative ,twitter,"@RepTomMarino, thanks for dedicating time on the Floor to talk important reforms to NFIP. http://t.co/JJg8cmkg9n"
constituency,neutral,personal,Representative ,twitter,RT @SenatorSerrano: My staff is funny... http://t.co/WQI7ONgQsk
national,neutral,mobilization,Representative ,twitter,RT @RepDianeBlack: POTUSâ€™s record and rhetoric on trusting the federal govâ€™t do NOT line up. RT &amp; SHARE this graphic: http://t.co/8fHINZfAEp
national,partisan,policy,Representative ,twitter,"Today is the 3rd birthday of #Obamacare - the law that has brought skyrocketing premiums, higher taxes &amp; less freedom for American families."
constituency,partisan,policy,Senator ,twitter,Met w/ #Illinois community banks to discuss reg relief so local banks can keep lending to families &amp; small businesses http://t.co/Rp6Pfk37hU
national,neutral,information,Representative ,twitter,"After nearly three years, the #WashingtonMonument will be reopening on May 12th. Starting today you can book your... http://t.co/UUjyNQQAhJ"
national,partisan,support,Representative ,twitter,"FACT: If Congress would #raisethewage to $10.10, weâ€™d pump $22 billion into our economy and create 85,000 jobs: http://t.co/B0SeFSHNQt"
constituency,neutral,personal,Representative ,twitter,Honored to welcome @NAACP #NAACP105 #OnlyInDistrict1 @naacplv #50thAnniv #CivilRightsAct #FreedomSummer #MandalayBay http://t.co/qeg3z10qcq
national,neutral,support,Representative ,twitter,Obama admin says â€œNo Rush to Decide on #Keystone XL Pipelineâ€ù http://t.co/qiZgwU8hzc Really? Many jobs depend on it
national,neutral,policy,Representative ,twitter,It's time to #CutWaste by choosing our national security over vacant federal properties: http://t.co/0rTaly45TW
national,partisan,other,Representative ,twitter,Mainstream media's growing irrelevance allows them to be even more biased &amp;activist. Larger share of their dwindling audience just as biased
national,neutral,policy,Representative ,twitter,Convening #aviation subcommittee hearing at 10am on cause of delays to #FAA's NextGen modernization program. Watch http://t.co/3DQ2m4lDqH
national,partisan,support,Senator ,twitter,Thank you! RT @SarahPalinUSA: We have your backs @SenTedCruz @SenMikeLee http://t.co/sxKCGB8QVf Please RT to #DefundObamacare
constituency,neutral,information,Representative ,twitter,Bristol Herald Courier: Roe to hold town hall in Jonesborough http://t.co/wZrdPNyJpB
national,neutral,information,Senator ,twitter,We're keeping our @CrowdHall open one more week. Submit your ideas for naming the new patent office here: http://t.co/GUpe9jbxgF
national,partisan,policy,Representative ,twitter,"POTUS holds end of year presser today. We'd ask: if ur concerned about jobs 4 middle class, why not open Atlantic coast 4 energy? #VAenergy"
national,partisan,support,Representative ,twitter,Thanks to @autismspeaks &amp; work of @SenatorEnzi @SenatorMenendez @RepChrisSmith @USRepMikeDoyle for  Autism CARES ACT http://t.co/RpJvHlpwEK
national,neutral,support,Representative ,twitter,TUNE IN: I'll be on @loudobbsnews around 7:30pm tonight to discuss ISIL and the #BenghaziHearing.
national,neutral,support,Representative ,twitter,"Proud to have my Dad, an Air Force vet, and my son Will join me today at the Jonesboro Vet's Parade #VeteransDay http://t.co/1uPyDQWaLA"
national,neutral,other,Representative ,twitter,"Thanks to @newyorkmets for tonight's Military Appreciation nite. If asked, "" I will not run"". http://t.co/2a2DauGVrw"
constituency,neutral,personal,Representative ,twitter,"Newark LL up, 5-2, and batting in the top of the 3rd in LLWS opener.  Let's go boys!!!  Keep it up!! #llws #netde"
national,neutral,personal,Senator ,twitter,"So awesome! Powerful Video MT @GayleKing bravo @hodakotb this is a genius idea, click on link u'll see what i mean 
http://t.co/fA0j2R1qKM â€_"
national,neutral,personal,Representative ,twitter,Check out my #Grants E-Newsletter for info on federal funding opportunities &amp; updates on awards in #CT's First: http://t.co/565SsQuvL8
national,neutral,information,Representative ,twitter,"Congrats to #NobelPeacePrize recipients #MalalaYousafzai &amp; @k_satyarthi. Every boy &amp; girl, rich or poor, deserves an #education. @MalalaFund"
constituency,neutral,personal,Representative ,twitter,At the #LRAFB Community Council meeting. #ar2 http://t.co/7gPgEvWX05
national,partisan,attack,Representative ,twitter,"Tweeting #ObamaFailures every half-hour #46 Returned Churchill bust gift. Lied: ""We still have it!"" British Embassy: ""No, you don't"" #tcot"
national,neutral,information,Senator ,twitter,"""Annual â€˜Day of Silenceâ€™ calls attention to â€˜silencing effectâ€™ of anti-LGBT bullying"" http://t.co/uvZfEtzLKY #DayofSilence"
national,neutral,personal,Representative ,twitter,Awesome #ar2 RT @washingtonpost: A powerful photo of Frederick Douglass's great-great-great-great-grandson http://t.co/iaZv2OpXz3
national,partisan,policy,Representative ,twitter,MT @HouseCommerce: #SubEnergyPower unveils draft legislation to protect consumers from higher #energy costs http://t.co/YlowrmEi0l
national,partisan,policy,Representative ,twitter,"On the @EdShow at 5 p.m. ET discussing #TPP. This so-called ""free trade"" agreement isn't actually fair for American businesses &amp; workers."
national,partisan,support,Senator ,twitter,Glad Senate passed legislation I introâ€™d w @amyklobuchar to designate Natâ€™l Drug Take-Back Week &amp; Heroin Abuse Awareness Month this fall
national,partisan,policy,Representative ,twitter,Today I introduced the 21st Century Energy Workforce Development Jobs Initiative Act w/ Reps Bobby Rush and Bill Johnson @HouseCommerce
national,neutral,other,Senator ,twitter,@georgiayclub @amber_nicholeW Nice to meet with you!
national,neutral,support,Representative ,twitter,I am proud to support the #CommunitySafetyAct. @nyclu @bradlander @JumaaneWilliams
national,neutral,support,Representative ,twitter,Congratulations to @RepPaulRyan our new @WaysandMeansGOP Chairman! I predict you will be a remarkable chairman.
national,partisan,policy,Representative ,twitter,.@GOPoversight #Benghazi hearing will examine deficiencies in @StateDept's own internal review of #Benghazi terror attack.
national,partisan,policy,Representative ,twitter,Thanks for taking my poll! 86% believe Washington has a #spending problem. 73% believe in reducing... http://t.co/tOQPsX0AHf #ar2 #arkansas
national,neutral,support,Senator ,twitter,"RT @RepDeSantis: Americans expect DC to play by same rules as rest of the country, which is why I'm fighting to end unfair #ObamaCare subsiâ€_"
constituency,neutral,personal,Representative ,twitter,@HanZephyr thanks for reaching out. We'll keep your thoughts in mind as Congress considers this issue further
national,neutral,personal,Senator ,twitter,"""It's nice to be important but it is more important to be nice."""
national,neutral,media,Representative ,twitter,Will be speaking at approx. 10:30am MT supporting @RepBillJohnson &amp; HR 2824 to protect coal jobs &amp; production in USA http://t.co/wxyMObZqeg
national,neutral,media,Representative ,twitter,Fueron Jay-Z y Beyonce otorgados licencia p viajar a Cuba o llegaron p medio d  3er pais? Mi entrevista c @Telemundo http://t.co/3ow34fkbSx
national,neutral,other,Representative ,twitter,Some wish I could just bypass Congress and change the law myself. But that's not how a democracy works - President Obama 5/10/11
national,neutral,information,Representative ,twitter,"March is Womenâ€™s History Month. When women succeed, America succeeds. Read my statement here: http://t.co/zZYdwJlic0 . #womenshistorymonth"
constituency,neutral,media,Representative ,twitter,Thanks @EtaSigmaSGRhos for inviting me to keynote your SGRho Founders observance today. Always love meeting my @SGRhoUpdates sorors.
national,neutral,support,Representative ,twitter,"Great, bipartisan legislation --&gt; Lawmakers push new savings account for people with disabilities http://t.co/qAhCNXGn7U"
national,neutral,personal,Senator ,twitter,Happy #ConstitutionDay! We are ever proud of those who stood boldly and declared these founding principles -ogh http://t.co/HdtVkWK42C
national,neutral,personal,Senator ,twitter,"50 years ago today, civil rights hero Medgar Evers was killed, but the change he inspired lives on: http://t.co/IO5Tvxla05"
national,neutral,media,Representative ,twitter,"ICYMI: in @nytimes I will cont to meet w constituents 2 hear their thoughts on the immigration debate #AZ05 
http://t.co/u9Yasj4SjH"
national,partisan,information,Representative ,twitter,13k plans at risk RT @ReutersUS: Aetna exits Obamacare exchange in Maryland over price http://t.co/qPXmuQvyHd
national,partisan,attack,Senator ,twitter,Is the Obama administration losing touch with reality? http://t.co/r6573M4tSJ via @DCExaminer
national,partisan,policy,Representative ,twitter,"Thanks to #Obamacare's 30-hr work week rule, wages could drop by 25%. I voted to restore the 40-hr work week. http://t.co/EbsOnMJuTH"
national,neutral,information,Senator ,twitter,"Must-read @WSJ: ""U.N. Insecurity Council - Saudi Arabia declines honor of joining a body that abets mass murder"" http://t.co/kYDTe1Get1"
national,partisan,policy,Representative ,twitter,"ICYMI, here are my thoughts on how Eric Cantor's loss proves that the GOP has totally redefined ""far right."" More: http://t.co/QyfD6kIoWy"
national,partisan,attack,Representative ,twitter,#ObamaCareInThreeWords - Protected privacy? LOL
national,neutral,mobilization,Representative ,twitter,It's #WorldHepDay. Hepatitis C goes widely undetected in the USÂ  &amp;disproportionally affects Baby Boomers. Get tested. http://t.co/gDBeCoyBpJ
national,neutral,personal,Representative ,twitter,@RepScottRigell http://t.co/i4r8Oa9NGB
national,neutral,support,Representative ,twitter,Robertâ€™s Round-Up: July Monthly Video Address: http://t.co/uVGHyI5QmH #VA5
constituency,partisan,personal,Representative ,twitter,"@erin9cotton Likewise. Thank you for being involved in agriculture in #AR. Excited about what you, @mhyneman &amp; others are doing for Ag! #AR1"
national,neutral,support,Representative ,twitter,"Part of West Virginia's Sesquicentennial celebration began last night in Washington, D.C.  To learn and see more, http://t.co/WpSeyMyltW"
constituency,neutral,support,Representative ,twitter,Donâ€™t forget! My staff will be holding a Veterans Assistance Session in Magnolia &amp; Camden on Tuesday. Details here: http://t.co/yuzyOhCJNA
national,neutral,policy,Representative ,twitter,"""I only regret that I have but one life to give for my country."" Nathan Hale http://t.co/WppQC2uZTq"
national,neutral,media,Representative ,twitter,I'll be on Sirius XM's POTUS @MorningBriefing w/ Tim Farley at 8:05 a.m to talk about #EqualPayDay. Hope you can listen.
national,partisan,attack,Senator ,twitter,Todays filibuster of #UI is a blow to the economy &amp; those looking to stay afloat while job hunting. Will continue efforts to #RenewUI
national,neutral,personal,Senator ,twitter,Today Sen. Murray met w/ a #Kennewick woman searching for #Vietnam era pilot's remains: http://t.co/7gPakngkuu http://t.co/FuUqnbYm1Z
national,partisan,personal,Representative ,twitter,We are often told that our budget is a moral document.  But it is immoral to abandon hungry children. RT to oppose $20 billion in SNAP cuts!
national,partisan,policy,Senator ,twitter,Sessions: Data In New State Dept. Letter Further Proves Immigrant Welfare Prohibition Being Ignored: http://t.co/hMDiIUuohZ
national,partisan,mobilization,Representative ,twitter,It's moving day in Washington.  Come stop by our new office at 409 Cannon! http://t.co/n5ENOY6MXl
constituency,neutral,constituency,Representative ,twitter,Glad to join @NJEA retired teachers in Monmouth County today. Thanked them for their dedication to #NJ youth &amp; years of service
national,neutral,media,Senator ,twitter,I hope so. #LetYourVoiceBeHeard RT @elaina32: I hope you &amp; all other Senate members understand that on Monday u will b bombarded by #RenewUI
national,neutral,information,Representative ,twitter,"REMINDER All artwork for the Congressional Art Competition must be submitted by April 16, 2013 - click for more info: http://t.co/wK0oxnBi87"
national,neutral,policy,Representative ,twitter,Letter from 16 Members of the #CA Dem Cong Del to @JerryBrownGov urging him to seek #drought relief and assistance http://t.co/ntexawCHMj
national,partisan,attack,Representative ,twitter,If #ObamaCare is so great...Why does the #Obama Administration keep delaying key parts of the law? http://t.co/ZsgA2IDDvN #txcot #txgop #dfw
constituency,neutral,personal,Representative ,twitter,Sad to see @NoahSimon2012 leave the @APSVirginia Board. He's always worked tirelessly for Arlington's students.
national,neutral,personal,Representative ,twitter,"Best national championship game I have ever seen, no matter who wins."
national,partisan,support,Representative ,twitter,"POTUS: we have to address climate change. ""The debate has ended #SOTU"
national,neutral,information,Representative ,twitter,Just spoke at a Congressional briefing on media freedom in Vietnam. Read my opening remarks here: http://t.co/P4dkk8ISU6
national,neutral,policy,Senator ,twitter,"Carl's statement in support of  overseas contingency funds request, including $ to train, equip Syria opposition: http://t.co/Q3w8zOITAn"
constituency,partisan,mobilization,Senator ,twitter,6 days left to #GetCovered on the IL exchangesâ€”learn how: http://t.co/ZFqE0gIWVI @CoveredIllinois
national,neutral,support,Representative ,twitter,I just launched my Instagram account. Be sure to follow! http://t.co/T0ChKsgY0D  #QueenCityPride http://t.co/xU9Xr0utlz
national,partisan,support,Representative ,twitter,Happy happy birthday to my good friend @donnabrazile _Ÿ_‰ @TheDemocrats are lucky to have her on our team! #HBD
national,partisan,support,Representative ,twitter,Thanks Foreign Affairs Cmte chair @RepEdRoyce for cosponsoring HR 2453 to protect choice for seniors using #MedicareAdvantage.
constituency,neutral,information,Representative ,twitter,MT @TexasTech was created by legislative action in 1923. Look back at a newspaper headline from that monumental day: http://t.co/YBmwJbC1aY
constituency,neutral,constituency,Representative ,twitter,If you're in the Iron Mountain are tomorrow make sure to stop by my office! I will be hold office hours from 3-4pm CST.
national,neutral,personal,Representative ,twitter,Celebrating #earthday weekend w/ cleanup at Weekes Park in @cityofhayward #ca15 http://t.co/7Y9ottf8El
national,neutral,support,Representative ,twitter,Appreciate @SenMarkPryor and @JohnBoozman for their bill to protect private land owners &amp; ag-producers: http://t.co/XdqLGkLG1m #AR #AR1
constituency,neutral,mobilization,Representative ,twitter,"Employment prep event for veterans in @cityofolympia this Friday, please spread the word http://t.co/dotQ7V87sT"
national,partisan,policy,Senator ,twitter,Cosponsored the US-Israel Strategic Partnership Act. Critical the U.S. stands up for Israelâ€™s right to defend itself against terrorism.
national,neutral,support,Representative ,twitter,"On Monday, as we mark anniversary of MLKâ€™s birthday, we remember his messages of nonviolence, compassion &amp; equality http://t.co/CmTpv7PzMh"
national,partisan,attack,Senator ,twitter,Serious questions remain about #Benghazi. Ex: Why did Amb. Rice make statements contradicting known intelligence and analysis at the time?
national,neutral,support,Senator ,twitter,In law school I learned basics from a Buddhist instructor RT @swayneharris Do you practice any style of yoga as well? #meditation
national,neutral,personal,Representative ,twitter,Sad to hear about Robin Williams. My prayers are with his family.
constituency,neutral,information,Representative ,twitter,"Webster County listening post, July 23. More info: http://t.co/igTGmmNy31"
national,neutral,information,Representative ,twitter,Texans &amp; companies like CPS are helping curb their carbon footprint #CleanEnergy http://t.co/ExPcyIELCP
national,partisan,policy,Representative ,twitter,On Floor to ask the issue of #military mental wellness be on the mind of every Member of Congress &amp; ask their support of HR4305 the MEPS Act
national,neutral,personal,Senator ,twitter,Joining @mitchelreports on MSNBC at 1:05 pm today to discuss national security &amp; #Hagel SecDef nomination.
national,neutral,personal,Senator ,twitter,"With John Warner, @TimKaine for Shipyard keel laying of USS John Warner. Great honor for great Virginian! http://t.co/IJylCTRI3d"
national,neutral,personal,Representative ,twitter,"@PruPaine @JoaquinCastrotx -- I disagree w your numbers but I respect your take on it.  Take care, Joaquin"
national,neutral,media,Representative ,twitter,"@TheKevinGrace Kevin, we actually pre-taped that interview Thursday. But Happy Birthday Walter."
national,neutral,personal,Senator ,twitter,RT @SenatorBaldwin: Proud to work alongside these women -TB RT @PattyMurray: Our first #Instagram photo! My how things have changed. #TBT hâ€_
